section_index,section_id,section_title,rule_index,rule_id,rule_title,similarity,section_snippet,rule_snippet
6,Section 1,"Short title, extend and commencement - (1) This Act may be called the",0,Rule 1,SHORT TITLE AND COMMENCEMENT,0.7033,"Short title, extend and commencement - (1) This Act may be called the  Environment (Protection) Act, 1986. (2) It extends to the whole of India. (3) It shall come into force on such date as the Central Government may, by notification in the Official Gazette, appoint and different dates may be appoin","SHORT TITLE AND COMMENCEMENT  (i) These rules may be called the Environment (Protection) Rules, 1986. (ii) They shall come into force on the date of their publication in the Official Gazette."
0,Section 1,"Short title, extent and commencement",0,Rule 1,SHORT TITLE AND COMMENCEMENT,0.6568,"Short title, extent and commencement","SHORT TITLE AND COMMENCEMENT  (i) These rules may be called the Environment (Protection) Rules, 1986. (ii) They shall come into force on the date of their publication in the Official Gazette."
15,Section 11,Power to take sample and procedure to be followed in connection therewith,6,Rule 8,"PROCEDURE FOR SUBMISSION OF SAMPLES FOR ANALYSIS, AND THE",0.7697,"Power to take sample and procedure to be followed in connection therewith  - (1) The Central Government or any officer empowered by it in this behalf, shall have power to take, for the purpose of analysis, samples of air, water, soil or other substance from any factory, premises or other place in su","PROCEDURE FOR SUBMISSION OF SAMPLES FOR ANALYSIS, AND THE  FORM OF LABORATORY REPORT THEREON (1) Sample taken for analysis shall be sent by the Central Government or the officer empowered to the environmental laboratory by registered post or through special messenger along with Form II. (2) Another"
16,Section 12,"Environmental laboratories - (1) The Central Government may, by notification in",7,Rule 9,FUNCTIONS OF ENVIRONMENTAL LABORATORIES,0.7974,"Environmental laboratories - (1) The Central Government may, by notification in  the Official Gazette,- (a) establish one or more environmental laboratories; (b) recognise one or more laboratories or institutes as environmental laboratories to carry out the functions entrusted to an environmental la","FUNCTIONS OF ENVIRONMENTAL LABORATORIES  The following shall be the functions of environmental laboratories:- (i) to evolve standardized methods for sampling and analysis of various types of environmental pollutants; 398 The Environment (Protection) Rules, 1986 (ii) to analyze samples sent by the Ce"
17,Section 13,Government analysts - The Central Government may by notification in the Official,8,Rule 10,QUALIFICATIONS OF GOVERNMENT ANALYST,0.6391,"Government analysts - The Central Government may by notification in the Official  Gazette, appoint or recognise such persons as it thinks fit and having the prescribed qualifications to be Government Analysts for the purpose of analysis of samples of air, water, soil or other substance sent for anal","QUALIFICATIONS OF GOVERNMENT ANALYST  A person shall not be qualified for appointment or recognized as a Government Analyst unless he is a:- (a) graduate in science from a recognized university with five years experience in laboratory engaged in environmental investigation, testing or analysis; or ("
5,Section 21,"Members, Officers and Employees of the authority constituted under section",1,Rule 2,DEFINITIONS,0.6581,"Members, Officers and Employees of the authority constituted under section  3 to be public servants 22. Bar of Jurisdiction. 23. Power to delegate. 24. Effect of other laws. 25. Power to make rules. 26. Rules made under this act to be laid before parliament. THE ENVIRONMENT (PROTECTION) ACT, 1986 (C","DEFINITIONS  In these rules, unless the context otherwise requires,- (a) ""Act"" means the Environment (Protection) Act, 1986 (29 of 1986); 2 [(aa) ""areas"" means all areas where the hazardous substances are handled;] (b) ""Central Board"" means the Central Pollution Control Board constituted under secti"
5,Section 21,"Members, Officers and Employees of the authority constituted under section",9,Rule 11,MANNER OF GIVING NOTICE,0.624,"Members, Officers and Employees of the authority constituted under section  3 to be public servants 22. Bar of Jurisdiction. 23. Power to delegate. 24. Effect of other laws. 25. Power to make rules. 26. Rules made under this act to be laid before parliament. THE ENVIRONMENT (PROTECTION) ACT, 1986 (C","MANNER OF GIVING NOTICE  The manner of giving notice under clause (b) of section 19 shall be as follows, namely:- (l) The notice shall be in writing in Form IV. (2) The person giving notice may send notice to- (a) if the alleged offence has taken place in a Union territory (A) the Central Board and"
29,Section 25,"Power to make rules - (1) The Central Government may, by notification in the",2,Rule 3,STANDARDS FOR EMISSION OR DISCHARGE OF ENVIRONMENTAL,0.7848,"Power to make rules - (1) The Central Government may, by notification in the  Official Gazette, make rules for carrying out the purposes of this Act. (2) In particular, and without prejudice to the generality of the foregoing power, such rules may provide for all or any of the following matters, nam","STANDARDS FOR EMISSION OR DISCHARGE OF ENVIRONMENTAL  POLLUTANTS (1) For the purpose of protecting and improving the quality of the environment and preventing and abating environmental pollution, the standards for emission or discharge of environmental pollutants from the industries, operations or p"
29,Section 25,"Power to make rules - (1) The Central Government may, by notification in the",1,Rule 2,DEFINITIONS,0.6724,"Power to make rules - (1) The Central Government may, by notification in the  Official Gazette, make rules for carrying out the purposes of this Act. (2) In particular, and without prejudice to the generality of the foregoing power, such rules may provide for all or any of the following matters, nam","DEFINITIONS  In these rules, unless the context otherwise requires,- (a) ""Act"" means the Environment (Protection) Act, 1986 (29 of 1986); 2 [(aa) ""areas"" means all areas where the hazardous substances are handled;] (b) ""Central Board"" means the Central Pollution Control Board constituted under secti"
29,Section 25,"Power to make rules - (1) The Central Government may, by notification in the",125,Rule 3,The standards shall be regulated by the State Pollution Control Boards or Pollution,0.6521,"Power to make rules - (1) The Central Government may, by notification in the  Official Gazette, make rules for carrying out the purposes of this Act. (2) In particular, and without prejudice to the generality of the foregoing power, such rules may provide for all or any of the following matters, nam","The standards shall be regulated by the State Pollution Control Boards or Pollution  Control Committees, as the case may be. The Environment (Protection) Rules, 1986 513"
29,Section 25,"Power to make rules - (1) The Central Government may, by notification in the",4,Rule 5,PROHIBITION AND RESTRICTION ON THE LOCATION OF INDUSTRIES,0.627,"Power to make rules - (1) The Central Government may, by notification in the  Official Gazette, make rules for carrying out the purposes of this Act. (2) In particular, and without prejudice to the generality of the foregoing power, such rules may provide for all or any of the following matters, nam",PROHIBITION AND RESTRICTION ON THE LOCATION OF INDUSTRIES  AND THE CARRYING ON PROCESSES AND OPERATIONS IN DIFFERENT AREAS (1) The Central government may take into consideration the following factors while prohibiting or restricting the location of industries and carrying on of processes and operati
29,Section 25,"Power to make rules - (1) The Central Government may, by notification in the",7,Rule 9,FUNCTIONS OF ENVIRONMENTAL LABORATORIES,0.6265,"Power to make rules - (1) The Central Government may, by notification in the  Official Gazette, make rules for carrying out the purposes of this Act. (2) In particular, and without prejudice to the generality of the foregoing power, such rules may provide for all or any of the following matters, nam","FUNCTIONS OF ENVIRONMENTAL LABORATORIES  The following shall be the functions of environmental laboratories:- (i) to evolve standardized methods for sampling and analysis of various types of environmental pollutants; 398 The Environment (Protection) Rules, 1986 (ii) to analyze samples sent by the Ce"
29,Section 25,"Power to make rules - (1) The Central Government may, by notification in the",150,Rule 2,The standards mentioned in this notification shall apply to all the effluents,0.6138,"Power to make rules - (1) The Central Government may, by notification in the  Official Gazette, make rules for carrying out the purposes of this Act. (2) In particular, and without prejudice to the generality of the foregoing power, such rules may provide for all or any of the following matters, nam",The standards mentioned in this notification shall apply to all the effluents  discharged such as industrial mining and mineral processing activities municipal sewage etc.
29,Section 25,"Power to make rules - (1) The Central Government may, by notification in the",139,Rule 2,The units having production capacity above 30 tpd shall,0.6066,"Power to make rules - (1) The Central Government may, by notification in the  Official Gazette, make rules for carrying out the purposes of this Act. (2) In particular, and without prejudice to the generality of the foregoing power, such rules may provide for all or any of the following matters, nam","The units having production capacity above 30 tpd shall  channelize their emission through a stack or chimney of height at least thirty metres above the ground level or three metres above the top of shed or building whichever is more. B. FUGITIVE EMISSION STANDARDS (ÂµG/M3) Particulate Matter 2,000 N"
29,Section 25,"Power to make rules - (1) The Central Government may, by notification in the",9,Rule 11,MANNER OF GIVING NOTICE,0.6023,"Power to make rules - (1) The Central Government may, by notification in the  Official Gazette, make rules for carrying out the purposes of this Act. (2) In particular, and without prejudice to the generality of the foregoing power, such rules may provide for all or any of the following matters, nam","MANNER OF GIVING NOTICE  The manner of giving notice under clause (b) of section 19 shall be as follows, namely:- (l) The notice shall be in writing in Form IV. (2) The person giving notice may send notice to- (a) if the alleged offence has taken place in a Union territory (A) the Central Board and"
29,Section 25,"Power to make rules - (1) The Central Government may, by notification in the",101,Rule 9,Compliance and testing procedure,0.6021,"Power to make rules - (1) The Central Government may, by notification in the  Official Gazette, make rules for carrying out the purposes of this Act. (2) In particular, and without prejudice to the generality of the foregoing power, such rules may provide for all or any of the following matters, nam","Compliance and testing procedure  The compliance and testing procedure shall be prepared and published by Central Pollution Control Board, with the help of the certification agencies. 500 The Environment (Protection) Rules, 1986"
8,Section 3,Power of Central Government to take measures to protect and improve,2,Rule 3,STANDARDS FOR EMISSION OR DISCHARGE OF ENVIRONMENTAL,0.7154,"Power of Central Government to take measures to protect and improve  environment - (1) Subject to the provisions of this Act, the Central Government, shall have the power to take all such measures as it deems necessary or expedient for the purpose of protecting and improving the quality of the envir","STANDARDS FOR EMISSION OR DISCHARGE OF ENVIRONMENTAL  POLLUTANTS (1) For the purpose of protecting and improving the quality of the environment and preventing and abating environmental pollution, the standards for emission or discharge of environmental pollutants from the industries, operations or p"
8,Section 3,Power of Central Government to take measures to protect and improve,125,Rule 3,The standards shall be regulated by the State Pollution Control Boards or Pollution,0.687,"Power of Central Government to take measures to protect and improve  environment - (1) Subject to the provisions of this Act, the Central Government, shall have the power to take all such measures as it deems necessary or expedient for the purpose of protecting and improving the quality of the envir","The standards shall be regulated by the State Pollution Control Boards or Pollution  Control Committees, as the case may be. The Environment (Protection) Rules, 1986 513"
8,Section 3,Power of Central Government to take measures to protect and improve,4,Rule 5,PROHIBITION AND RESTRICTION ON THE LOCATION OF INDUSTRIES,0.6667,"Power of Central Government to take measures to protect and improve  environment - (1) Subject to the provisions of this Act, the Central Government, shall have the power to take all such measures as it deems necessary or expedient for the purpose of protecting and improving the quality of the envir",PROHIBITION AND RESTRICTION ON THE LOCATION OF INDUSTRIES  AND THE CARRYING ON PROCESSES AND OPERATIONS IN DIFFERENT AREAS (1) The Central government may take into consideration the following factors while prohibiting or restricting the location of industries and carrying on of processes and operati
8,Section 3,Power of Central Government to take measures to protect and improve,1,Rule 2,DEFINITIONS,0.653,"Power of Central Government to take measures to protect and improve  environment - (1) Subject to the provisions of this Act, the Central Government, shall have the power to take all such measures as it deems necessary or expedient for the purpose of protecting and improving the quality of the envir","DEFINITIONS  In these rules, unless the context otherwise requires,- (a) ""Act"" means the Environment (Protection) Act, 1986 (29 of 1986); 2 [(aa) ""areas"" means all areas where the hazardous substances are handled;] (b) ""Central Board"" means the Central Pollution Control Board constituted under secti"
2,Section 3,Power of Central Government to take measures to protect and improve,125,Rule 3,The standards shall be regulated by the State Pollution Control Boards or Pollution,0.6273,"Power of Central Government to take measures to protect and improve  environment 4. Appointment of officers and their powers and functions. 5. Power to give directions. 6. Rules to regulate environmental pollution. CHAPTER III Prevention, Control and Abatement of Environmental Pollution 7. Persons c","The standards shall be regulated by the State Pollution Control Boards or Pollution  Control Committees, as the case may be. The Environment (Protection) Rules, 1986 513"
8,Section 3,Power of Central Government to take measures to protect and improve,7,Rule 9,FUNCTIONS OF ENVIRONMENTAL LABORATORIES,0.6244,"Power of Central Government to take measures to protect and improve  environment - (1) Subject to the provisions of this Act, the Central Government, shall have the power to take all such measures as it deems necessary or expedient for the purpose of protecting and improving the quality of the envir","FUNCTIONS OF ENVIRONMENTAL LABORATORIES  The following shall be the functions of environmental laboratories:- (i) to evolve standardized methods for sampling and analysis of various types of environmental pollutants; 398 The Environment (Protection) Rules, 1986 (ii) to analyze samples sent by the Ce"
10,Section 5,Power to give directions - Notwithstanding anything contained in any other law but,3,Rule 4,DIRECTIONS,0.7344,"Power to give directions - Notwithstanding anything contained in any other law but  subject to the provisions of this Act, the Central Government may, in the exercise of its powers and performance of its functions under this Act, issue directions in writing to any person, officer or any authority an","DIRECTIONS  (1) Any direction issued under section 5 shall be in writing. (2) The direction shall specify the nature of action to be taken and the time within which it shall be complied with by the person, officer or the authority to whom such direction is given. 2[(3) (a) The person, officer or aut"
11,Section 6,"Rules to regulate environmental pollution - (1) The Central Government may, by",4,Rule 5,PROHIBITION AND RESTRICTION ON THE LOCATION OF INDUSTRIES,0.7539,"Rules to regulate environmental pollution - (1) The Central Government may, by  notification in the Official Gazette, make rules in respect of all or any of the matters referred to in section 3. (2) In particular, and without prejudice to the generality of the foregoing power, such rules may provide",PROHIBITION AND RESTRICTION ON THE LOCATION OF INDUSTRIES  AND THE CARRYING ON PROCESSES AND OPERATIONS IN DIFFERENT AREAS (1) The Central government may take into consideration the following factors while prohibiting or restricting the location of industries and carrying on of processes and operati
11,Section 6,"Rules to regulate environmental pollution - (1) The Central Government may, by",125,Rule 3,The standards shall be regulated by the State Pollution Control Boards or Pollution,0.7496,"Rules to regulate environmental pollution - (1) The Central Government may, by  notification in the Official Gazette, make rules in respect of all or any of the matters referred to in section 3. (2) In particular, and without prejudice to the generality of the foregoing power, such rules may provide","The standards shall be regulated by the State Pollution Control Boards or Pollution  Control Committees, as the case may be. The Environment (Protection) Rules, 1986 513"
11,Section 6,"Rules to regulate environmental pollution - (1) The Central Government may, by",2,Rule 3,STANDARDS FOR EMISSION OR DISCHARGE OF ENVIRONMENTAL,0.7201,"Rules to regulate environmental pollution - (1) The Central Government may, by  notification in the Official Gazette, make rules in respect of all or any of the matters referred to in section 3. (2) In particular, and without prejudice to the generality of the foregoing power, such rules may provide","STANDARDS FOR EMISSION OR DISCHARGE OF ENVIRONMENTAL  POLLUTANTS (1) For the purpose of protecting and improving the quality of the environment and preventing and abating environmental pollution, the standards for emission or discharge of environmental pollutants from the industries, operations or p"
11,Section 6,"Rules to regulate environmental pollution - (1) The Central Government may, by",7,Rule 9,FUNCTIONS OF ENVIRONMENTAL LABORATORIES,0.6195,"Rules to regulate environmental pollution - (1) The Central Government may, by  notification in the Official Gazette, make rules in respect of all or any of the matters referred to in section 3. (2) In particular, and without prejudice to the generality of the foregoing power, such rules may provide","FUNCTIONS OF ENVIRONMENTAL LABORATORIES  The following shall be the functions of environmental laboratories:- (i) to evolve standardized methods for sampling and analysis of various types of environmental pollutants; 398 The Environment (Protection) Rules, 1986 (ii) to analyze samples sent by the Ce"
11,Section 6,"Rules to regulate environmental pollution - (1) The Central Government may, by",1,Rule 2,DEFINITIONS,0.6011,"Rules to regulate environmental pollution - (1) The Central Government may, by  notification in the Official Gazette, make rules in respect of all or any of the matters referred to in section 3. (2) In particular, and without prejudice to the generality of the foregoing power, such rules may provide","DEFINITIONS  In these rules, unless the context otherwise requires,- (a) ""Act"" means the Environment (Protection) Act, 1986 (29 of 1986); 2 [(aa) ""areas"" means all areas where the hazardous substances are handled;] (b) ""Central Board"" means the Central Pollution Control Board constituted under secti"
